country,variable,Mean,Sd,Min,Max
Argentina,credit,1.43,10.61,-91.22,61.23
Argentina,gdp,0.57,2.18,-7.51,8.43
Argentina,inf,-0.01,15.85,-152.15,94.27
Argentina,stock,NA,NA,Inf,-Inf
Argentina,yield,NA,NA,Inf,-Inf
Australia,credit,1.73,1.43,-2.15,6.49
Australia,gdp,0.84,1.02,-2.04,4.33
Australia,inf,0,0.98,-3.84,4.88
Australia,stock,1.45,7.84,-48.9,19.59
Australia,yield,-1.58,47.75,-165,183.33
Austria,credit,1.28,1.94,-4.19,7.84
Austria,gdp,0.68,0.73,-1.9,3.61
Austria,inf,0,1.62,-12.86,7.67
Austria,stock,1.21,8.89,-60.55,45.42
Austria,yield,NA,NA,Inf,-Inf
Belgium,credit,1.11,2.36,-6.7,10.08
Belgium,gdp,0.65,0.77,-2.33,3.83
Belgium,inf,0,0.62,-2.21,1.8
Belgium,stock,1.03,7.08,-37.02,21.39
Belgium,yield,-1.97,33.65,-139,109.33
Bolivia,credit,2.27,10.05,-58.44,71.11
Bolivia,gdp,NA,NA,Inf,-Inf
Bolivia,inf,-0.01,13.04,-103.94,68.83
Bolivia,stock,NA,NA,Inf,-Inf
Bolivia,yield,NA,NA,Inf,-Inf
Brazil,credit,1.74,7.06,-40.86,33.84
Brazil,gdp,0.95,1.59,-7.99,6.64
Brazil,inf,-0.04,11.12,-115.14,49.2
Brazil,stock,NA,NA,Inf,-Inf
Brazil,yield,NA,NA,Inf,-Inf
Canada,credit,1.49,1.75,-3.13,7.51
Canada,gdp,0.76,0.86,-2.29,3.1
Canada,inf,0,0.69,-2.55,1.7
Canada,stock,1.43,6.85,-37.24,18.95
Canada,yield,-1.45,47.43,-218.67,214.67
Chile,credit,2.59,7.68,-34.2,54.01
Chile,gdp,0.97,2.36,-14.37,10.81
Chile,inf,0,6.93,-45.24,38.83
Chile,stock,7.48,16.14,-38.06,87.9
Chile,yield,NA,NA,Inf,-Inf
Colombia,credit,1.07,3.76,-18.56,12.52
Colombia,gdp,NA,NA,Inf,-Inf
Colombia,inf,0,3.71,-22.31,22.31
Colombia,stock,NA,NA,Inf,-Inf
Colombia,yield,NA,NA,Inf,-Inf
Costa Rica,credit,1.45,4.24,-17.53,12.71
Costa Rica,gdp,NA,NA,Inf,-Inf
Costa Rica,inf,0,1.88,-10.91,5.88
Costa Rica,stock,NA,NA,Inf,-Inf
Costa Rica,yield,NA,NA,Inf,-Inf
Cyprus,credit,1.6,3.34,-16.11,12.89
Cyprus,gdp,NA,NA,Inf,-Inf
Cyprus,inf,0,2.12,-5.56,4.91
