country,Credit_to_GDP,N1,MarketCAP_to_GDP,N2,inv_GDP,N3
Argentina,16.44,58,-0.53,50,3.51,31
Australia,65.1,60,1.14,50,8.82,30
Austria,90.24,19,1.66,50,2.07,31
Belgium,61.95,19,1.64,50,8.94,31
Bolivia,29.15,60,0.48,50,3.01,31
Brazil,41.07,60,-1.29,50,3.84,31
Canada,64.04,49,2.31,50,17.68,31
Chile,44.14,60,-0.35,50,10.04,31
Colombia,28.23,60,-1.19,50,2.83,31
Costa Rica,30,60,0.23,50,6.64,31
Cyprus,193,19,-0.16,50,5.47,30
Denmark,81.41,54,1.37,50,2.8,30
El Salvador,34.73,55,0.1,50,7.24,31
Finland,81.15,19,1.56,50,0.86,30
France,90.71,19,1.12,50,2.61,31
Germany,92.08,19,2.31,50,2.72,31
Greece,89.29,19,0.29,50,0.47,31
Guatemala,19.18,60,1.01,50,1.85,31
Honduras,30.03,60,-0.15,50,4.74,31
Iceland,72.1,60,-0.46,50,0.44,14
India,26.94,60,-1.23,50,0.93,30
Ireland,98.38,19,1.04,50,51.46,31
Israel,52.25,60,0.5,50,3.76,31
Italy,79.65,19,0.9,50,1.4,31
Japan,119.36,60,1.96,50,1.52,31
Korea,65.03,60,-0.2,50,1.84,31
Luxembourg,88.78,19,NA,0,381.43,31
Malaysia,78.15,60,0.63,50,4.85,31
Malta,99.14,15,-0.1,48,5.78,18
Mexico,21.12,60,0.86,50,6.59,31
Morocco,31.49,56,-1.35,50,0.37,31
Netherlands,112.15,19,1.86,50,44.78,31
New Zealand,63.4,60,1.44,50,6.15,31
Norway,62.94,60,1.12,50,4.7,31
Pakistan,22.24,60,-1.28,50,0.42,30
Peru,18.04,60,0.69,50,4.07,31
Philippines,28.47,60,-0.58,50,3.52,31
Portugal,128.69,19,0.74,50,1.25,30
Singapore,81.5,57,1.82,50,42.2,31
South Africa,57.22,54,-1.25,50,1.66,31
Spain,132.94,19,1.01,50,2.91,31
Sweden,62.66,60,1.68,50,5.32,31
Switzerland,126.4,57,2.31,24,19.72,31
Taiwan,110.16,35,2.27,50,2.78,30
Thailand,70.51,60,-0.4,50,3.57,31
Turkey,25.24,60,-0.93,50,0.5,31
United Kingdom,83.1,60,1.67,50,15.41,31
Uruguay,27.63,60,1.14,50,2.86,30
