country,variable,Mean,Sd,Min,Max
Argentina,credit,0.57,0.71,0.08,3.07
Argentina,gdp,102.14,42.4,41.53,184.46
Argentina,stock,NA,NA,Inf,-Inf
Australia,credit,6.58,7.97,0.28,26.14
Australia,gdp,217.55,123.82,55.43,480.38
Australia,stock,34.29,36.13,1.96,122.36
Austria,credit,1.39,1.08,0.05,3.12
Austria,gdp,49.3,25.15,11.06,93.71
Austria,stock,43.5,44.95,1.03,194.36
Belgium,credit,1.38,0.85,0.16,3.04
Belgium,gdp,59.71,28.66,17.03,111.57
Belgium,stock,33.09,32,4.82,111.52
Bolivia,credit,0.05,0.07,0,0.29
Bolivia,gdp,NA,NA,Inf,-Inf
Bolivia,stock,NA,NA,Inf,-Inf
Brazil,credit,2.45,3.06,0.12,10.8
Brazil,gdp,155.51,88.29,23.82,311.45
Brazil,stock,NA,NA,Inf,-Inf
Canada,credit,12.48,11.33,0.52,40.15
Canada,gdp,252.7,141.34,53.89,525.37
Canada,stock,33.65,34.9,1.59,117.08
Chile,credit,286.59,384.6,1.48,1418.89
Chile,gdp,13725.35,11169.12,2675.42,39478
Chile,stock,27.51,41.69,0,150.77
Colombia,credit,1080.32,984.58,138.66,4023.9
Colombia,gdp,NA,NA,Inf,-Inf
Colombia,stock,NA,NA,Inf,-Inf
Costa Rica,credit,29.41,36.85,1.61,142.45
Costa Rica,gdp,NA,NA,Inf,-Inf
Costa Rica,stock,NA,NA,Inf,-Inf
Cyprus,credit,0.18,0.2,0.01,0.67
Cyprus,gdp,NA,NA,Inf,-Inf
Cyprus,stock,NA,NA,Inf,-Inf
Denmark,credit,14.44,10.76,2.17,35.13
Denmark,gdp,299.35,131.2,93.19,537.07
Denmark,stock,20.99,30.37,0.43,121.71
El Salvador,credit,NA,NA,Inf,-Inf
El Salvador,gdp,NA,NA,Inf,-Inf
El Salvador,stock,NA,NA,Inf,-Inf
Finland,credit,0.65,0.59,0.05,2.02
Finland,gdp,27.41,14.32,6.45,51.51
Finland,stock,33.79,44.03,0.22,191.56
France,credit,9.61,6.48,0.65,23.64
France,gdp,319.32,158.42,71,582.08
France,stock,34.91,36.94,0.83,120.52
Germany,credit,14.03,8.88,0.42,27.25
Germany,gdp,453.37,211.6,85.87,811.46
Germany,stock,34.82,31.68,1.46,115.37
Greece,credit,0.78,0.75,0.03,2.65
Greece,gdp,33.02,16.51,6.3,63.35
